COMB Title,NumberOfConsoles,GCN,XBX,PS2,Brand,License,Publisher,Developer,NPD Super Genre,NPD Sub Genre,Launch,Launch Year,Launch Month,ESRB,Online,Review,AvgReleaseYearPrice,PriorSaleBrand (M),TotalPriorSalesBrand (M),ConcurrentReleaseBrand,ConcurrentReleaseGenre,PriorReleaseBrand,PriorReleaseGenre,FirstYearUnits,FirstYearSales (M),FirstYearRatio,LTD ASP,LTD Units,LTD Dollars (M)
TECHNIC BEAT,1,0,0,1,,,MASTIFF,ARIKA,FAMILY,MUSIC/DANCE GAMES,2004-11-01,2004,11,E,NO,68.5,20.00,0,0,0,13,0,19,1967,0.038964,0.445119722,16.00,5341,0.087536
TEENAGE MUTANT NINJA TURTLES,3,1,1,1,TEENAGE MUTANT NINJA TURTLES,NINJA TURTLES (TMNT),KONAMI DIGITAL ENT.,KONAMI,ACTION,GENERAL ACTION,2003-10-01,2003,10,E,NO,60.63333384,39.33,0,0,0,84,0,92,696167,25.708233,0.934981276,35.67,761430,27.495987
TEENAGE MUTANT NINJA TURTLES 2:,3,1,1,1,TEENAGE MUTANT NINJA TURTLES,NINJA TURTLES (TMNT),KONAMI DIGITAL ENT.,KONAMI,ACTION,GENERAL ACTION,2004-10-01,2004,10,T,NO,48.80000051,38.67,25.708233,25.708233,0,76,3,179,212313,8.190537,0.661103244,37.00,334498,12.389195
TEKKEN 4,1,0,0,1,TEKKEN,,NAMCO,NAMCO,FIGHTING,FIGHT/HEAD TO HEAD,2002-09-01,2002,9,T,NO,81.19999695,49.00,27.733176,27.733176,0,9,1,7,828799,34.33518,0.811017306,35.00,1217240,42.33594
TEKKEN TAG TOURNAMENT,1,0,0,1,TEKKEN,,NAMCO,NAMCO,FIGHTING,FIGHT/HEAD TO HEAD,2000-10-01,2000,10,T,NO,85.80000305,50.00,0,0,0,3,0,0,555238,27.733176,0.575345344,35.00,1363733,48.20266
TENCHU 3:WRATH HEAVEN,1,0,0,1,TENCHU,,ACTIVISION,K2,ACTION,STEALTH ACTION,2003-03-01,2003,3,M,NO,80.19999695,47.00,0,0,0,4,0,4,309828,14.07208,0.941583607,42.00,353802,14.94512
TENCHU:RETURN DARKNSS,1,0,1,0,TENCHU,,ACTIVISION,K2,ACTION,STEALTH ACTION,2004-03-01,2004,3,M,YES,69.90000153,33.00,0,0,0,7,0,4,93742,3.076344,0.896227264,29.00,120402,3.432549
TENNIS 2K2,1,0,0,1,,PRO TENNIS,SEGA OF AMERICA,,SPORTS,TENNIS,2002-07-01,2002,7,E,NO,82.90000153,50.00,0,0,0,3,0,0,77572,3.63682225,0.905376048,44.00,90324,4.016919
TENNIS MASTERS 2003,1,0,1,0,,PRO TENNIS,HIP INTERACTIVE,MICROIDS,SPORTS,TENNIS,2003-08-01,2003,8,E,NO,63.70000076,30.00,0,0,0,1,0,1,18876,0.402054656,0.84838661,19.00,25039,0.473905
TERMINATOR 3: RISE OF THE MACHIN,2,0,1,1,TERMINATOR,TERMINATOR,ATARI,BLACK OPS ENTERTAINMENT,SHOOTER,1ST PERSON SHOOTER,2003-11-01,2003,11,T,NO,39.80000114,32.00,6.4515325,6.4515325,0,18,2,27,228795,5.723291125,0.885739275,22.50,284539,6.461598
